Tract,Data2017.xlsx,Is an Opportunity Zone,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %",Cluster,Negative_SHAP_Features,Negative_SHAP_Values,Average Negative Shap,Number of Negative SHAP Values
543630,Data2024.xlsx,nan,davidson county,tennessee,2024,53,59,47,57,68.0,46.0,68,-0.5,3.7,,48.8,,34,4.1,2.4,33,72.2,67.5,29,91.7,86.9,87,56.7,74.1,59,53.0,65.0,46,-5.8,-10,64,,,48,-8.5,-13.8,36,3.6,2.8,80,60,86,80,1.3,2.4,44,56.0,31.0,70,16.7,50.3,42,,,24,88.8,79.3,53,41.5,41,,27.8,,16,95,88.6,0,"['Spend Growth Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.3909623405057937, -0.7783423997089267, -4.241401787623763, -9.296342390533537]",-3.676762229593005,4
582541,Data2024.xlsx,nan,davidson county,tennessee,2024,48,52,44,52,62.0,42.0,60,-0.5,-0.9,65,48.8,84.2,14,4.1,0.9,55,72.2,73.6,57,91.7,92.8,41,56.7,53.3,58,61.0,55.0,90,-5.8,60.5,35,,,58,-8.5,1.1,8,3.6,1.3,73,60,80,83,1.3,2.6,34,33.0,36.0,53,16.7,22.2,13,,,24,88.8,79.4,81,41.5,36.3,22,27.8,16.2,17,95,88.8,0,"['New Businesses Score', 'Commercial Diversity Score', 'Female Above Poverty Score']","[-2.462297822292894, -1.0792644959315658, -7.384231166727841]",-3.641931161650767,3
520318,Data2024.xlsx,nan,davidson county,tennessee,2024,46,54,38,58,64.0,52.0,52,-0.5,-2.2,75,48.8,167.5,81,4.1,11.6,66,72.2,76.3,6,91.7,74.5,57,56.7,59.4,48,45.0,51.0,75,-5.8,3.8,35,,,25,-8.5,-24.5,61,3.6,4.4,16,60,21,76,1.3,2.2,33,54.0,12.0,60,16.7,30.9,49,,,6,88.8,60.8,2,41.5,57.4,19,27.8,15.2,23,95,90.7,0,"['New Businesses Score', 'Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-1.2934612691495568, -0.10129018171690404, -4.82907474052161, -1.0583445918746293, -10.478050692602991, -7.140304470155388, -0.30159106334671376]",-3.600302429909685,7
572521,Data2024.xlsx,nan,davidson county,tennessee,2024,36,33,39,32,16.0,49.0,16,-0.5,-10.4,,48.8,,66,4.1,6.7,21,72.2,63.2,12,91.7,80.1,98,56.7,86.4,52,52.0,52.0,33,-5.8,-7.5,57,,,66,-8.5,29.7,70,3.6,5.4,72,60,79,13,1.3,0.4,24,32.0,17.0,56,16.7,27.6,9,,,18,88.8,75.9,34,41.5,44.3,14,27.8,12.6,2,95,77.1,2,"['Spend Growth Score', 'Small Business Loans Score', 'Minority/Women Owned Businesses Score', 'Internet Access Score', 'Female Above Poverty Score']","[-0.1295723709091544, -0.39564472103491427, -0.5038109969720245, -8.401617494784295, -8.568183645335957]",-3.599765845807269,5
556618,Data2024.xlsx,nan,davidson county,tennessee,2024,46,42,50,34,24.0,45.0,34,-0.5,-40.1,14,48.8,-15.8,48,4.1,3.9,29,72.2,66.3,26,91.7,86,78,56.7,68.9,66,60.0,71.0,64,-5.8,-4.5,75,,,42,-8.5,-16.8,57,3.6,4.2,60,60,69,96,1.3,4.8,38,42.0,35.0,21,16.7,7.2,64,,,19,88.8,76.3,68,41.5,38.6,,27.8,,17,95,89,2,"['New Businesses Score', 'Spend Growth Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.4996034066937864, -0.9297438095603138, -2.0915356687270106, -3.330541095919907, -8.512051928993314, -5.996178086809814]",-3.5599423327840243,6
533171,Data2024.xlsx,Yes,davidson county,tennessee,2024,48,53,43,64,67.0,62.0,67,-0.5,107.9,,48.8,,65,4.1,6.6,97,72.2,87.9,1,91.7,60,84,56.7,71.8,64,61.0,66.0,77,-5.8,1.4,50,,,55,-8.5,-7.4,76,3.6,6.2,36,60,45,87,1.3,3.1,16,31.0,2.0,21,16.7,7.7,41,,,2,88.8,46,0,41.5,64.6,5,27.8,7.8,3,95,79.5,0,"['New Businesses Score', 'Spend Growth Score', 'Minority/Women Owned Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-1.4729494985938072, -0.018718798952177165, -2.756770926145837, -3.903374101817608, -1.2171240939013659, -12.352580690886825, -2.508756519947201]",-3.4614678043206886,7
543628,Data2024.xlsx,nan,davidson county,tennessee,2024,44,53,34,52,58.0,46.0,49,-0.5,1,66,48.8,166.6,52,4.1,4.4,51,72.2,72.4,3,91.7,68.2,77,56.7,68.2,46,57.0,34.0,63,-5.8,-3.7,62,,,46,-8.5,-3.4,4,3.6,1,37,60,46,60,1.3,1.5,33,44.0,22.0,58,16.7,30.4,30,,,8,88.8,65.5,2,41.5,58.6,76,27.8,42.2,4,95,81.3,0,"['New Businesses Score', 'Spend Growth Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score', 'Residential Real Estate Value Score']","[-0.3333732816390693, -0.6641524069290609, -3.687880379296839, -0.8030157602764666, -10.515133828371763, -7.691331342756748, -0.4939016622491181]",-3.4555412373598666,7
534497,Data2024.xlsx,Yes,davidson county,tennessee,2024,46,65,28,62,67.0,58.0,67,-0.5,107.9,,48.8,,83,4.1,12.8,47,72.2,71.4,10,91.7,78.4,92,56.7,77.7,38,65.0,11.0,59,-5.8,2.2,69,,,67,-8.5,223.3,,,,18,60,23,4,1.3,0.2,38,62.0,15.0,67,16.7,131.2,57,,,1,88.8,36.9,23,41.5,46.7,18,27.8,14.5,19,95,89.4,0,"['Spend Growth Score', 'Small Business Loans Score', 'Labor Market Engagement Index Score', 'Internet Access Score']","[-0.6509299062611535, -0.8722278841771185, -4.439248677454889, -7.640976162366569]",-3.4008456575649326,4
532100,Data2024.xlsx,Yes,davidson county,tennessee,2024,45,51,39,42,30.0,53.0,39,-0.5,0.7,20,48.8,21.3,22,4.1,1.5,86,72.2,82.1,13,91.7,80.6,90,56.7,75.9,60,66.0,53.0,95,-5.8,30,32,,,72,-8.5,-0.5,54,3.6,3.9,13,60,16,92,1.3,3.7,34,58.0,11.0,65,16.7,38.8,51,,,1,88.8,40.1,5,41.5,54.9,,27.8,,26,95,91.3,0,"['New Businesses Score', 'Small Business Loans Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Residential Real Estate Value Score']","[-2.1768915838841347, -1.871461599841714, -4.990781976021826, -2.809020039346069, -6.282821005415172, -2.119404404889792]",-3.3750634348997846,6
547717,Data2024.xlsx,nan,davidson county,tennessee,2024,44,38,49,41,32.0,50.0,34,-0.5,-3.2,30,48.8,32,63,4.1,6.2,40,72.2,69.5,19,91.7,83.5,78,56.7,68.6,52,50.0,54.0,71,-5.8,-3,51,,,29,-8.5,-24.1,33,3.6,2.6,45,60,54,85,1.3,2.9,38,33.0,43.0,49,16.7,19.5,17,,,32,88.8,83,66,41.5,39,,27.8,,32,95,92.6,2,"['New Businesses Score', 'Labor Market Engagement Index Score', 'Commercial Diversity Score', 'Internet Access Score', 'Female Above Poverty Score']","[-1.1692486172541976, -2.465699884109199, -1.2939761999063193, -3.9010063167475164, -6.999419162953273]",-3.165870036194101,5
